TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-139901,,Expired demo data in the HCR solution,SOL,Income Support HCR,Organization,Administration,"*Issue Description:*
Previously, the demo data shipped with the HCR solution contained entries that expired on January 1, 2025. The demo data in question related to the Organization Structure, e.g. PositionHolderLink DMX entries. 
This meant that some of the demo users were now rendered invalid. The end date for the following DMX files was updated to address this issue.
* EJBServer/components/ISProduct/data/demo/POSITIONHOLDERLINK.dmx
* EJBServer/components/ISScreening/data/demo/POSITIONHOLDERLINK.dmx

*User Interface Impact:* No"
SPM-142139,DT037158,Users with a lower sensitivity level than the person associated with a case can view details on that case via application case search.,CEF,Application Development Environment,Security Management,,"*Issue Description:*
Users with a lower sensitivity level can view case details linked to a client with a higher sensitivity level. This may include limited client-related information necessary for case processing.
*User Interface Impact:* No
*Prerequisite(s):*
# Log in as an administrator.
# Select Sections under User Interface in the shortcuts panel.
# Navigate to the shortcuts panel tab of the DefaultAppSection.
# Select New Link for the Searches Group.
# Enter ?ApplicationSearch? in Link ID.
# Enter ?CommonIntake_applicationCaseSearch? in Page ID.
# Enter 'Application Search?? in Title. Save the details. 
# Navigate back to the User Interface menu in the shortcuts panel and select Publish.

*Steps to Reproduce:*
# Log in as an administrator.
# Search for the Admin user.
# Change the administrator?s Sensitivity Level to 5.
# Search for the ?superuser? and change their Sensitivity Level to 5.
# Log in as a ?superuser?. 
# Register a person.
# Navigate to the actions menu on the Person tab and select Edit.
# Update the Sensitivity Level to 5.
# From the actions menu, select New Application Form.
# Complete and submit the application form to generate an application case.
# Note the Application Reference Number under Care and Protection - Applications.
# Log in as caseworker (sensitivity level 1). 
# Select Application Search from the Searches menu of the shortcut panel.
# Enter the Reference Number and click Search.
# Issue: Search results are displaying case information linked to individuals with higher sensitivity levels, to users whose sensitivity levels is lower.

*Resolution*:                                                                                                                                                                                            
This issue has been resolved. If the user attempts to expand and view additional information of a restricted case, the following validation message is displayed: ?You do not have access to this client?s details.?
"
SPM-142140,DT037253,A case with sensitivity level 5 can be seen by an audit coordinator with sensitivity level 1,CEF,Application Development Environment,Security Management,,"*Issue Description:*
An audit coordinator can view and select cases for auditing linked to a person with a higher sensitivity level.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as an administrator.
# In the shortcuts panel, navigate to Case Audit Configurations under the Case Audits section and select New Case Audit Configuration.
# Configure an audit with the following values:## Case Audit type: Select Product Delivery in the drop-down, search and select any product, and click Next.
## Algorithm:* *Systematic Sampling
## Allow Audit Coordinator to Specify Cases for Audit: Yes
## Dynamic Query: Benefit Product Delivery Case Query
## Focus Area: Select All
## Select Save

# Navigate to Users and select User Search.
# Search for the administrator user. Update the administrator?s sensitivity level to 5.
# Search for the caseworker user. Update their sensitivity level to 5.
# Log in as this updated caseworker.
# Register a person.
# Set the person?s sensitivity level to 5.
# Create an integrated case for the person.
# Create an associated product delivery. Note down the Case Reference Number.
# Add the necessary evidence to make the person eligible.
# Apply the evidence changes.
# Submit the product delivery for approval.
# Activate the product delivery.
# Log in as an audit coordinator.
# Select New Audit Plan under the Audits section in the shortcuts panel.
# Configure an Audit Plan with the following values:## Purpose: Compliance Review
## Audit Item: Product selected at Step 3 above.
## User Involvement: Provide Feedback

# From the Audit Plan home page, open the page actions overflow menu and click the Select Specific Cases to Audit action.
# Search for the product delivery case created above (Step 11).
# Issue: The audit coordinator can view and select to audit the product delivery case linked to a person with a higher sensitivity level.

*Resolution:*
When an audit coordinator with a lower sensitivity level searches for a case linked to a client with a higher sensitivity level, the details are masked. Additionally, if an audit coordinator tries to add a restricted case, the following validation message displays: ?You do not have access to this client?s details.?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
SPM-145922,,Update the commons-io JAR file to the latest version,Third Party Updates,,,,"The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more. Its usage in the Cúram application is related to the client generators, the XML Server, and also Axis 2 web services. 
The version of the commons-io library used by Cúram has now been updated from 2.8.0 to 2.18.0. The new version contains some defect fixes and minor enhancements. 
As a result of this upgrade, the following changes have been made to the Cúram deliverable.
* CuramSDEJ/lib/third&#95;party&#95;version.properties - the version of the commons-io JAR file has been updated.
* CuramSDEJ/xmlserver/third&#95;party&#95;version.properties - the version of the commons-io JAR file has been updated.

The changes to the commons-io JAR file include:
* CuramCDEJ/lib/ext/jar/commons-io-2.18.0.jar - version updated from 2.8.0 to 2.18.0.
* CuramSDEJ/xmlserver/commons-io-2.18.0.jar - version updated from 2.8.0 to 2.18.0.
* CuramSDEJ/lib/commons-io-2.18.0.jar - version updated from 2.8.0 to 2.18.0.
* CuramSDEJ/lib/axis2/commons-io-2.18.0.jar - version updated from 2.8.0 to 2.18.0.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that are specified above.
"
SPM-145923,,Update opensaml library to the latest version,Third Party Updates,,,,"The OpenSAML-J library provides tools to support developers working with the Security Assertion Markup Language (SAML). The library is used in Cúram as part of the Rampart functionality which provides the ability to develop secure Axis 2 Web Services.
The version of the opensaml JAR has now been updated from 2.6.1-2 to 2.6.6. The new version of the JAR contains a number of defect fixes. As a result of this upgrade, the following changes have been made in the JDE deliverable.
* CuramSDEJ/lib/third&#95;party&#95;version.properties - the version of the JAR file has been updated.
* CuramSDEJ/lib/axis2/opensaml-2.6.6.jar - version of the JAR updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.
"
SPM-145930,,Update the version of the xmlunit-core JAR file to the latest version,Third Party Updates,,,,"XMLUnit Core provides helper classes to validate generated XML against an XML Schema, assert the values of XPath queries or compare XML documents against expected outcomes. It provides a diff-engine which provides full control over what kind of difference is required and which part of the generated document to compare against reference documents. It is used to ensure that Dynamic Domain Definitions are loaded correctly in the product.
The version of the xmlunit-core library has now been updated from 2.6.0 to 2.10.4. The new version contains some defect fixes and minor enhancements. As a result of this upgrade, the following changes have been made to the Cúram deliverable.
* CuramSDEJ/lib/xmlunit-core-2.10.4.jar - the version of the JAR file has been updated.
* TI/lib/release/third&#95;party&#95;version.properties - the version of the specified xmlunit-core JAR file has been updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.
"
SPM-145931,,Replace the iText library with the OpenPDF library in Cúram,Third Party Updates,,,,"iText is a Java library for creating and manipulating PDF documents. It enables developers to generate complex PDF files programmatically, including adding text, images, and tables, as well as modifying existing PDFs. Its usage in Merative Cùram is primarily focused on generating printable documentation for outcome plans.
The iText library used by Cùram has now been removed and replaced by OpenPDF version 1.3.43. OpenPDF is an open-source library for creating and manipulating PDF documents in Java, derived from the iText library version 4.2.0. It offers features for generating complex PDF files programmatically, including adding text, images and tables, as well as modifying existing PDFs.
As a result of this upgrade, several changes were made across all components of the Social Program Management application.
The changes to the JAR files include:
* EJBServercomponentsWorkspaceServiceslibiText-2.1.7.jar - iText version removed.
* CuramSDEJlibopenpdf-1.3.43.jar - openPDF version 1.3.43 added.

Note that any references in custom build scripts to the versioned JAR file should be updated to point to the new JAR file as specified above.
The impact on custom code should be minimal, but it could result in these main differences, particularly if the removed packages were previously utilized:
# OpenPDF introduced type safety with generics. For example, in the original code, final List<Chunk> chunks = pdfFieldCellParagraph.getChunks(); might need to be replaced with final List<Element> chunks = pdfFieldCellParagraph.getChunks();.
# The rtf.com.lowagie.text.rtf package, which is not included in OpenPDF, has been replaced by a related project called OpenRTF, available at [OpenRTF on Maven Repository|https://mvnrepository.com/artifact/com.github.librepdf/openrtf].
# The rups.com.lowagie.rups package, featuring the RUPS tool for PDF inspection and manipulation, was part of the original iText library but has been excluded from OpenPDF. An alternative fork of RUPS can be found at [PDF Swing on Maven Repository|https://mvnrepository.com/artifact/com.github.librepdf/pdf-swing].

"
SPM-145933,,Update Guava to latest version,Third Party Updates,,,,"Google Guava is an open source set of core libraries for the Java platform released by Google under the Apache License. The version of Google Guava used in the Cúram product has been updated from 27.0.1-jre to 33.2.0-jre. 
As a result of this upgrade, the following changes have been made in the Server Java Development Environment deliverable.
* guava.jar (updated from 27.0.1-jre to 33.2.0-jre).
* failureaccess.jar (updated from 1.0.1 to 1.0.2) - this is a dependency of guava.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that are specified above.
"
SPM-145934,,Update commons-configuration JAR file to the latest version,Third Party Updates,,,,"The Apache Commons Configuration package contains tools to assist in the reading of configuration/preferences files in various formats. The library is used in Cúram in a variety of places for XML configuration processing. It is mainly used in the client project for processing the various configuration files for Client Widgets.
The version of the commons configuration library has now been updated from 2.9.0 to 2.12.0. The new version contains some defect fixes and minor enhancements. As a result of this upgrade, the following changes have been made to the Cúram deliverable.
* CuramCDEJ/lib/ext/jar/commons-configuration-2.12.0.jar - the version of the JAR file has been updated.
* TI/lib/release/third&#95;party&#95;version.properties - the version of the specified commons-configuration JAR has been updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.
"
SPM-146113,,CKEditor - Upgrade the CKeditor to 4.25.1-lts,CEF,,,,"The CKEditor component (located at webclientcomponentsCEFWidgetsWebContentcefwidgetsckeditor), which underpins the Rich Text Editor in Cúram, has been upgraded from version 4.5.10 to 4.25.1-lts and fully integrated into the application. 
CKEditor v4.25.1-lts includes multiple defect fixes, minor enhancements and latest security patches.

Pasting from Word documents keeps the formatting in most cases, as long as the format type is supported within the Rich Text editor.
*Note:*
The following Rich Text Editor usability changes are present after this upgrade
* The paste button is now disabled; selecting it will display an informational dialog indicating to the user how to paste content into the rich text editor.
* Users must use keyboard shortcuts (e.g., Ctrl&#43;V or Cmd&#43;V) to paste content into the rich text editor.

"
