TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-138875,,Batch Performance Improvements: Managing caches and multiple transactions in batch processes,CEF,Technical Services,Server Development Environment,Batch Processing,"*Issue Description:* 
Four property updates are required to benefit from the batch processing performance improvements. The following application properties are now available to help improve batch processing performance.

*Steps to Configure four properties for batch improvements:*

*Property Name:* Clear caches per case in chunked batch
*Technical ID:* curam.batch.streams.cache.clear.mode.<instanceID>
*Category:* Application - Batch settings
*Type:* 32 bit Integer
*Default value:* 0

For chunked batch jobs that execute reassessments, increasing the chunk size raises the memory demand of the streamer. This can prevent large chunk sizes from being utilized. Part of this memory demand is caused by two transaction-level caches: the SQL Query cache and the Persistence Infrastructure (PI) cache, whose sizes increase over the duration of a chunk.

It is now possible to enable either or both of these transaction-level caches to be cleared at the end of processing each case in the chunk instead of waiting for the end of the chunk, thereby stopping the memory demand from increasing proportionally to the size of the chunk. The property name takes the format 'curam.batch.streams.cache.clear.mode.<instanceID>' where <instanceID> identifies a type of chunked batch program.

Valid values of <instanceID> can be found in the code table 'Batch Process Chunk Name'. Valid values for this property are as follows:

0 - Cache clearing off (i.e. the transaction-level caches will be cleared at the end of the chunk).
1 - Clear the  PI cache at the end of processing each case.
2 - Clear SQL Query cache at the end of processing each case.
3 - Clear both caches at the end of processing each case. 

*Example 1:*    
To clear both caches per case for 'CREOLE Bulk Case Chunk Reassessment by Product':  curam.batch.streams.cache.clear.mode.BPN6=3                                                                                                                                                                                                                                        

*Example 2:*
To clear only the PI cache per case for 'Generate Instruction Line Items':  curam.batch.streams.cache.clear.mode.BPN1=1.

_As with all caches, there is a trade-off between memory usage and fetching data from the database. Although clearing a cache more frequently will lessen the memory demand, it will also require some data to be reloaded more frequently. The overall gain or loss will be dependent on the content of the data being processed._

Note that since this is an optional property for out-of-the-box and custom chunked batch programs it is not automatically available in the Property Administration screen. To use this property for a chunked batch program you must first add it by clicking the New button in the Property Administration screen.



*Property Name:* Cache CER rates per transaction
*Technical ID:* curam.cache.cer.rate
*Category:* Application - Cache settings
*Type:* Boolean
*Default value:* false

By default, CER rates are included in the PI cache for the duration of a transaction. If the PI cache gets cleared at the end of each case during a chunk, rates must be re-read from the database more often. To mitigate the performance overhead in re-reading CER rates during a transaction, a separate transaction-level cache for CER rates can be enabled by setting this property to True.



*Property Name:* Enable transaction-level cache for query CaseNomineeProdDelPattern.readByEffectiveDate
*Technical ID*: curam.casenomineeproddelpattern.readbyeffectivedate.cache
*Category:* Application - Cache settings
*Type:* Boolean
*Default value:* false

When reassessing long-lived cases, for example, above ten years, on which payments have been issued, the table CaseNomineeProdDelPattern is queried very heavily for each past payment period on which payment could have been made for the case. This is especially evident when reassessing cases after applying a rate change. The entity operation is 'CaseNomineeProdDelPattern.readByEffectiveDate', and the SQL for the query is: 

SELECT CASENOMINEEPRODDELPATTERN.CASENOMINEEPRODDELPATTERNID, CASENOMINEEPRODDELPATTERN.FROMDATE, CASENOMINEEPRODDELPATTERN.TODATE, CASENOMINEEPRODDELPATTERN.PRODUCTDELIVERYPATTERNID, CASENOMINEEPRODDELPATTERN.CASENOMINEEID, CASENOMINEEPRODDELPATTERN.STATUSCODE, CASENOMINEEPRODDELPATTERN.VERSIONNO FROM CASENOMINEEPRODDELPATTERN WHERE CASENOMINEEPRODDELPATTERN.CASENOMINEEID= ? AND CASENOMINEEPRODDELPATTERN.STATUSCODE= ? AND ( CASENOMINEEPRODDELPATTERN.FROMDATE <= ? ) AND (( CASENOMINEEPRODDELPATTERN.TODATE>= ? ) OR ( CASENOMINEEPRODDELPATTERN.TODATE IS NULL) )

This can place a large processing load on the database. To mitigate this processing load, it is now possible to optionally consolidate the multiple queries on table CaseNomineeProdDelPattern into a single query per case per transaction by setting this property to True.



*Property Name:* Batch Chunk Record Insert/Delete Commit Size
*Technical ID:* curam.batch.chunker.recordinsertdeletecommitsize
*Category:* Application - Batch settings
*Type:* 32 bit Integer
*Default value:* 10000000

By default, chunked batch programs use a single transaction to insert the chunk records at the start, and another single transaction to delete them at the end. For batch jobs with a very large number of chunks, these large transactions can consume excessive transaction log space in the database. This property allows you to specify a maximum number of chunk records per transaction at both the start and end of a chunked batch run. If the number of chunks exceeds this value, the inserts and deletes will be executed in a series of smaller transactions.

"
SPM-138872,DT037181,"Text is partially truncated on the Decision Comparison screen ",Accessibility,,,,"*Issue Description:*
Text is partially truncated on the Food Assistance and Cash Assistance Decision Comparison screens. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an Income Support caseworker.
# Register a new Person.
# Submit an Income Support application for Food and Cash Assistance. 
#  Select the checkbox for the question ?Are there any other people living in the home??
# Add a second person, who is a child of the primary applicant to the application.
# Add a Paid Employment record for the primary applicant.
# Add Earned Income, Wages and Salaries of $175 monthly from the start of the year and a Bonus of $500 from March for the applicant. 
# Add Unearned Income, Alimony of $400 with the from and last paid dates set to May 1st for the applicant.
#  Submit the application.
# Navigate to the Related Cases tab on the application and open the created Income Support integrated case.
# Add, verify and activate the necessary evidence on the integrated case to make the Food and Cash Assistance product deliveries eligible.
# Check Eligibility to confirm you are eligible for the selected programs.
# Navigate to the Eligibility Checks page and expand out the decision details.
# Select a decision period date on each product delivery and navigate to the Decision Comparison tab.
# Issue: Text is partially truncated on the Food and Cash Assistance Decision Comparison screens. 

*Resolution:*
The alignment of the text has been updated so that it is no longer truncated.

"
SPM-138854,,Introduce support for Db2 13 for z/OS,Third Party Updates,,,,"Support for Db2 13 for z/OS has been introduced in Cúram 8.1.3.0.

Please see post install steps.

"
SPM-138448,DT037149,Cúram Citizen Engagement Life Event Types are not translated when the language is switched from English,CEF,Life Event Management,,,"*Issue Description:*
In Cúram Citizen Engagement, when the selected language is switched from English, the Life Event type in both the profile page and the Life Event summary page does not display in the selected language.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in to the client portal.
# Open the profile tab.
# Click ?Previous changes? within the ?Tell us if anything has changed? card.
# Switch language (for example, French).
# Issue: The Life Event type is not translated.

*Resolution:*
When the language is switched, the Life Event type is displayed in the selected language.

"
SPM-138344,,Inconsistency in keyboard navigation focus colors in the shortcuts menu and Smart Panel areas,Look and Feel,,,,"*Issue Description:*
There is an inconsistency in the keyboard navigation focus colors in the shortcuts menu and Smart Panel areas.

*User Interface Impact:* No

*Steps to Reproduce*:

# Log in as a caseworker. 
# Open the shortcuts menu. 
# Observe the color of the expand/collapse button when it is in focus. 
# Open the Smart Panel. 
# Observe the color of the expand/collapse button and the Save and Clear buttons when they are in focus.
# Issue: The expand/collapse buttons in both the shortcuts menu and Smart Panel have a dark blue focus outline that is not clearly defined. The focus color for the Save and Clear buttons inside the Smart Panel is an incorrect dark blue.

*Resolution:*
The expand/collapse button in the shortcuts menu has been updated with a clearly defined white focus outline. The Smart Panel's expand/collapse button has been updated with a clearly defined blue focus outline. Additionally, the focus color for the Save and Clear buttons inside the Smart Panel has been updated to a blue outline.

"
SPM-138054,,The inline actions menu contains duplicate options in the Change History tab for the Evidence list on the person,CEF,Application Development Environment,Evidence Maintenance,Infrastructure,"*Issue Description:*
The inline actions menu contains duplicate options in the Change History tab for person evidence.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Click the Evidence tab.
# Expand the Addresses list item.
# Click the Change History in-page navigation element.
# Click the row-level actions menu.
# Issue: The row-level actions are duplicated (Edit, Delete, Edit, Delete)

*Resolution:*
Duplicate row-level actions no longer appear for the items on the inline evidence Change History page.

"
SPM-137941,,data-test-ids are not unique on pages where a FIELD LABEL property is referenced by more than one FIELD,CEF,,,,"*Issue Description:*
When more than one FIELD element in a UIM page shares the same property key for their LABEL attribute, the generated data-testid HTML attribute for the rendered FIELD elements is the same.

*User Interface Impact:* No.

*Steps to Reproduce:*

# Update a UIM page so that two FIELD elements share the same property key for their LABEL attribute.
# Run the appropriate client builds and restart the Cúram application.
# Log in to the Cúram application and navigate to the updated page.
# Inspect the HTML for the two fields sharing the same label.
# Issue: The data-testid for the two fields is the same. They should be unique.

*Resolution:*
When more than one FIELD element in a UIM page shares the same property key for their LABEL attribute, the generated data-testid HTML attribute for the rendered FIELD elements is unique. When the data-testid is being generated but it is already present on the page, a suffix is appended to make the current data-testid unique. For example, if the data-testid textinput&#95;Field.Label.Name has been generated but is already on the page; the current data-testid will be updated to textinput&#95;Field.Label.Name_1 to make it unique.

"
SPM-137702,,Distribute BatchProcessChunk insert+delete into multiple transactions if the number of chunks available is exceeded,CEF,Technical Services,Server Development Environment,Batch Processing,"*Issue Description:*
Chunked batch programs use a single large transaction to insert chunks at the start of the batch run, and another single large transaction to remove them at the end. This places a strain on the database transaction log for batch programs with large numbers of chunks.

*User Interface Impact:* No

*Steps to Reproduce:*
This issue is dependent on user data and as such is not directly reproducible.

*Resolution:*
The application property 'curam.batch.chunker.recordinsertdeletecommitsize' enables a maximum number of chunk records to be specified per transaction at the start and end of a chunked batch run. If the number of chunks available exceeds this value, the insert and deletes will be executed in a series of smaller transactions instead of a single large transaction.

"
SPM-137063,DT037095,Performance enhancement for setting the last paid to date for case nominee components,ENT,Financial Management,Financials,,"*Issue Description:*
The repetitive nature of the SQL used to set the ?last paid to date? for nominee components results in very long reassessment times. This is particularly noticeable for products utilizing list objectives, especially when the number of list objectives being processed is very high, potentially in the thousands.

*User Interface Impact:* No

*Steps to Reproduce:*

# A case exists whose underlying product utilises list objectives.
# Evidence is captured on the product delivery, translating into thousands of list objectives at runtime.
# Issue: The time spent (re)assessing this product delivery is excessive due to the repetitive nature of the SQL. The same SQL is executed for every list objective (there could be thousands), even when the ?last paid to date? is the same for all of them.

*Resolution:*
The functionality has been updated to use a hash map keyed on a combination of case nominee and objective. If these are the same for all list objectives, the SQL is only executed once, rather than potentially thousands of times. This significantly improves the efficiency of the (re)assessment process when dealing with list objectives.

"
SPM-136871,,Updates to supported browser versions,Third Party Updates,,,,"The following browser versions are now updated and certified for this release.

Caseworker Application Browser Support

* Google Chrome is updated to 130
* Microsoft Edge is updated to 130

Universal Access Application Browser Support

* Google Chrome is updated to 130
* Microsoft Edge is updated to 130
* Mozilla Firefox is updated to 132
* Apple Safari is updated to 18

"
